feature,importance
parts_cost_lkr,0.9823034054358596
under_warranty_encoded,0.0071035485594113735
mileage_miles,0.0019846443898146934
battery_cycles,0.001431744402112796
mileage_km,0.0013939365729862413
labor_cost_lkr,0.0010478759667573718
fast_charge_ratio,0.0007828304913981768
battery_health_percent,0.0006635805340090195
labor_hours,0.0005959593846190562
base_price_lkr,0.00039448632185131143
avg_temperature_c,0.0003850644087225276
diagnostic_fee_lkr,0.0003237892685609875
charging_freq_encoded,0.00030017569056415086
region_encoded,0.00022294396401108049
previous_repairs,0.00019789614924897676
model_encoded,0.00018835545171855768
labor_rate_lkr_per_hour,0.00013563494328280103
service_provider_encoded,0.00011460917745716661
battery_capacity_kwh,0.00010346467801470433
age_years,9.339126305159221e-05
region_cost_multiplier,7.743250505034107e-05
current_capacity_kwh,7.46295866192662e-05
age_months,3.3208854524797566e-05
repair_type_encoded,3.0228099381277173e-05
home_charging_encoded,1.7163900972063406e-05
