vehicle_id,model,manufacture_year,age_years,age_months,mileage_km,mileage_miles,battery_capacity_kwh,current_capacity_kwh,battery_health_percent,battery_cycles,base_price_lkr,region,region_cost_multiplier,avg_temperature_c,fast_charge_ratio,home_charging_available,public_charging_frequency,previous_repairs,needs_repair,repair_type,service_provider,labor_hours,labor_rate_lkr_per_hour,labor_cost_lkr,parts_cost_lkr,diagnostic_fee_lkr,service_charge_lkr,total_repair_cost_lkr,under_warranty,warranty_coverage_percent,out_of_pocket_cost_lkr,total_cost_usd,out_of_pocket_usd
SLEV_00001,BYD Atto 3,2024,2,24,17248,10717,60,55.37,92.28,86,12000000,Kandy,0.95,26.6,0.345,False,Occasional,0,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00002,Nissan Leaf,2019,7,84,72872,45280,40,27.2,68.0,364,9000000,Matara,0.85,33.7,0.415,False,Occasional,4,True,Onboard Charger Replacement,Browns Hybrid Care,5.78,1993.14,11520.23,549652.65,7589.54,44329.21,611053.89,False,0.0,611053.89,2036.85,2036.85
SLEV_00003,Tesla Model 3,2017,9,108,107531,66816,75,48.29,64.38,537,18000000,Kandy,0.95,30.4,0.389,False,Rare,3,True,Steering System Repair,Hybrid Hub (Edirisinghe),4.15,3512.92,14580.76,240732.71,3375.76,18009.07,275308.01,False,0.0,275308.01,917.69,917.69
SLEV_00004,Nissan Leaf 62kWh,2020,6,72,99840,62037,62,47.16,76.06,499,12000000,Ratnapura,0.87,23.9,0.575,True,Frequent,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00005,MG ZS EV,2021,5,60,55950,34765,44,36.91,83.89,279,11000000,Colombo,1.15,31.6,0.16,True,Occasional,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00006,Nissan Leaf,2015,11,132,143921,89428,40,25.28,63.2,719,9000000,Kandy,0.95,24.9,0.345,True,Rare,2,True,Charging Port Repair,Browns Hybrid Care,2.02,3472.44,7016.1,84238.82,13749.16,4427.89,110124.42,False,0.0,110124.42,367.08,367.08
SLEV_00007,Mitsubishi i-MiEV,2014,12,144,141149,87705,16,9.66,60.36,705,2300000,Ratnapura,0.87,24.7,0.175,True,Frequent,4,True,Battery Module Replacement,Hybrid Hub (Edirisinghe),6.78,2519.51,17071.26,4336360.6,13881.94,158151.19,4592301.64,False,0.0,4592301.64,15307.67,15307.67
SLEV_00008,Tesla Model S,2022,4,48,49148,30539,100,84.12,84.12,245,33000000,Batticaloa,0.82,26.7,0.059,True,Rare,1,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00009,MG ZS EV,2019,7,84,59942,37246,44,32.99,74.97,299,11000000,Negombo,1.0,23.3,0.162,False,Very Frequent,5,True,12V Auxiliary Battery,Hybrid Hub (Edirisinghe),7.14,2537.1,18116.48,72077.98,10587.67,5232.34,106393.73,False,0.0,106393.73,354.65,354.65
SLEV_00010,Hyundai Kona Electric,2020,6,72,61028,37921,64,47.96,74.94,305,15000000,Colombo,1.15,26.4,0.44,True,Rare,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00011,Mercedes B250e,2019,7,84,44799,27836,28,23.02,82.23,223,18000000,Galle,0.9,28.9,0.269,True,Very Frequent,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00012,Wuling Air EV,2022,4,48,32856,20415,26,22.65,87.13,164,4500000,Kurunegala,0.88,31.8,0.098,False,Rare,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00013,Hyundai IONIQ Electric,2019,7,84,46027,28599,38,28.98,76.26,230,15000000,Matara,0.85,27.2,0.235,True,Rare,3,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00014,Tesla Model 3,2020,6,72,100802,62635,75,58.03,77.37,504,18000000,Negombo,1.0,30.3,0.429,False,Very Frequent,2,False,No Repair Needed,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
SLEV_00015,Mercedes B250e,2015,11,132,129528,80484,28,17.25,61.62,647,18000000,Jaffna,0.9,29.5,0.292,False,Rare,2,True,Battery Management System (BMS),Authorized Dealer,17.84,2698.83,48160.14,1075987.97,11429.81,46730.24,1157904.35,False,0.0,1157904.35,3859.68,3859.68
SLEV_00016,MG ZS EV,2024,2,24,39263,24396,44,37.36,84.91,196,11000000,Kandy,0.95,24.8,0.074,True,Rare,0,True,Inverter Repair/Replace,Independent EV Specialist,2.96,2576.76,7629.01,836441.7,10090.0,18426.08,832216.4,False,0.0,832216.4,2774.05,2774.05
SLEV_00017,Mahindra e2o,2019,7,84,63445,39422,10,7.27,72.75,317,2500000,Matara,0.85,23.4,0.607,True,Rare,4,True,Window Regulator,Authorized Dealer,9.03,2408.38,21751.95,65893.88,8202.25,5665.65,98984.62,False,0.0,98984.62,329.95,329.95
